н п.п.;Дата;Номенклатура Товарів Послуг;Одиниця Виміру Товару  Послуги;Кількість об’єм  Обсяг;Сума Без ПДВ;Ціна Без ПДВ
1;2025-01-21;'Пуско-налагоджувальні;шт;1;0;0
2;2025-01-21;(FQC-08978);шт;1;0;0
3;2025-01-21;(N010L552015UA_UBU);шт;1;0;0
4;2025-01-21;(Леска);шт;1;0;0
5;2025-01-21;0.0.0.3.04123RP;шт;1;0;0
6;2025-01-21;0.0.0.4.95049;шт;1;0;0
7;2025-01-21;0.0.0.5.00609;шт;1;0;0
8;2025-01-21;0000011;шт;1;0;0
9;2025-01-21;00871;шт;1;0;0
10;2025-01-21;00BH40183;шт;3;0;0
11;2025-01-21;0101001899105;шт;1;0;0
12;2025-01-21;0101001899110;шт;2;0;0
13;2025-01-21;0101001899120;шт;2;0;0
14;2025-01-21;0105023000;шт;1;0;0
15;2025-01-21;0107000799100;шт;1;0;0
16;2025-01-21;01072022№23;шт;1;0;0
17;2025-01-21;0108004599080;шт;1;0;0
18;2025-01-21;0108004599100;шт;3;0;0
19;2025-01-21;014;шт;1;0;0
20;2025-01-21;014.D870/Вставка;шт;1;0;0
21;2025-01-21;0173000200;шт;1;0;0
22;2025-01-21;020-025-30-2-0;шт;1;0;0
23;2025-01-21;02140;шт;1;0;0
24;2025-01-21;032822,Кабель;шт;1;0;0
25;2025-01-21;04072022№32;шт;1;0;0
26;2025-01-21;04072022№33;шт;1;0;0
27;2025-01-21;04072022№34;шт;1;0;0
28;2025-01-21;0450;шт;1;0;0
29;2025-01-21;0451300003;шт;2;0;0
30;2025-01-21;050/о;шт;1;0;0
31;2025-01-21;0501;шт;2;0;0
32;2025-01-21;0501215163;шт;2;0;0
33;2025-01-21;05908;шт;1;0;0
34;2025-01-21;06072022№чек;шт;1;0;0
35;2025-01-21;065013K\КСМ-ТРЕЙД;шт;1;0;0
36;2025-01-21;065015K\КСМ-ТРЕЙД;шт;1;0;0
37;2025-01-21;07000-12130;шт;1;0;0
38;2025-01-21;07000-72110;шт;1;0;0
39;2025-01-21;07063-01100;шт;1;0;0
40;2025-01-21;07072022№324;шт;1;0;0
41;2025-01-21;07072022№325;шт;1;0;0
42;2025-01-21;07072022№558;шт;1;0;0
43;2025-01-21;074/о;шт;1;0;0
44;2025-01-21;080240;шт;1;0;0
45;2025-01-21;08072022№чек;шт;1;0;0
46;2025-01-21;084320;шт;1;0;0
47;2025-01-21;1;шт;10;0;0
48;2025-01-21;1-70-3;шт;1;0;0
