н п.п.;Дата;Номенклатура Товарів Послуг;Одиниця Виміру Товару  Послуги;Кількість об’єм  Обсяг;Сума Без ПДВ;Ціна Без ПДВ
1;2025-02-06;0;"Клей ""KLEBFIX"" DOS-Sys. 20гр {арт. 089309}";шт;0;1
2;2025-02-06;1;Очисник дросельної заслонки, 500мл {арт. 5861113500};шт;0;2
3;2025-02-06;2;Перетворювач корозії Rost Off Plus, 400ML {арт. 0890200004};шт;0;1
4;2025-02-06;0;Очисник універсальний плюс, 500 мл {арт. 089010810};шт;0;36
5;2025-02-06;1;Силікон спрей, 500мл {арт. 0893221};шт;0;2
6;2025-02-06;2;Хомут пластмасовий чорний 2,5x100 {арт. 0502111};шт;0;500
7;2025-02-06;0;Викрутка PH, ударна, 6-гранний стержень, PH1X80, ZEBRA {арт. 06133221};шт;0;1
8;2025-02-06;1;Хомут пластмасовий чорний 3,5x200 {арт. 0502131};шт;0;300
9;2025-02-06;0;Ізоляційна стрічка PVC, чорна, 18мм/10м {арт. 1985101};шт;0;30
10;2025-02-06;1;Засіб для видалення герметика, 300мл {арт. 08931000};шт;0;5
11;2025-02-06;0;Ізоляційна стрічка флісова, чорна 19MMX10M {арт. 0771100219};шт;0;10
12;2025-02-06;1;"Ключ торцевий 1/4"" SW10 6-гр. {арт. 0713111110}";шт;0;1
13;2025-02-06;0;Ключ трубний COBRA 250MM {арт. 071502 23};шт;0;1
14;2025-02-06;1;Мастило HHS 2000, 500мл {арт. 0893106};шт;0;12
15;2025-02-06;0;"""АСФОЛ-1"" - рідина мастильно-холодильна";л;0;10
16;2025-02-06;1;Ніпель ET-G1/4IN {арт. 06992114};шт;0;5
